trade_num,asset,direction,decision_time,entry_time,exit_time,entry_price,ob_high,ob_low,sl_price,tp_price,sl_dist_pct,leverage,tp_ret_pct,outcome,realized_r,loss_mechanism,starting_capital_gross,gross_pnl_usd,ending_capital_gross,starting_capital_net,fees_usd,net_pnl_usd,ending_capital_net,narrative
12,BTCUSD,SHORT,2026-08-06 14:00:00+00:00,2026-08-06 14:00:00+00:00,2026-08-06 23:00:00+00:00,64770.625,64978.0,64701.5,64978.0,64252.46,0.3202,109.32,87.45,FILLED_TP,2.4987,N/A,5.461,4.7759,10.2368,2.5415,0.2223,2.0004,4.5419,Price expanded in trade direction to hit fixed 0.8% TP (64252.46) in candle [64169.50 - 64340.00].
13,SOLUSD,SHORT,2026-08-08 08:00:00+00:00,2026-08-08 08:00:00+00:00,2026-08-08 11:00:00+00:00,74.5523,75.318,74.297,75.318,73.9558,1.0271,34.08,27.26,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,10.2368,-3.5829,6.6539,4.5419,0.1238,-1.7135,2.8284,"Filled at 74.55, moved inside zone for 3 bars, then reversed and breached distal SL at 75.32."
14,BTCUSD,LONG,2026-08-08 18:00:00+00:00,2026-08-08 18:00:00+00:00,2026-08-09 01:00:00+00:00,65012.5,65053.5,64889.5,64889.5,65532.6,0.1892,184.99,148.0,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,6.6539,-2.3289,4.3251,2.8284,0.4186,-1.4085,1.4199,"Filled at 65012.50, moved inside zone for 7 bars, then reversed and breached distal SL at 64889.50."
15,SOLUSD,SHORT,2026-08-08 20:00:00+00:00,2026-08-09 06:00:00+00:00,2026-08-09 14:00:00+00:00,76.4578,77.081,76.25,77.081,75.8461,0.8152,42.94,34.35,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,4.3251,-1.5138,2.8113,1.4199,0.0488,-0.5457,0.8742,"Filled at 76.46, moved inside zone for 8 bars, then reversed and breached distal SL at 77.08."
16,ETHUSD,LONG,2026-08-09 02:00:00+00:00,2026-08-09 02:00:00+00:00,2026-08-09 22:00:00+00:00,1913.3,1914.0,1911.2,1911.2,1928.6064,0.1098,318.88,255.11,FILLED_TP,7.2888,N/A,2.8113,7.1718,9.9831,0.8742,0.223,2.007,2.8812,Price expanded in trade direction to hit fixed 0.8% TP (1928.61) in candle [1914.05 - 1937.60].
17,SOLUSD,LONG,2026-08-10 15:00:00+00:00,2026-08-10 15:00:00+00:00,2026-08-10 16:00:00+00:00,76.0219,76.1105,75.756,75.756,76.63,0.3497,100.08,80.06,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,9.9831,-3.4941,6.489,2.8812,0.2307,-1.2391,1.6421,"Filled at 76.02, moved inside zone for 1 bars, then reversed and breached distal SL at 75.76."
18,BTCUSD,LONG,2026-08-11 14:00:00+00:00,2026-08-11 14:00:00+00:00,2026-08-11 14:00:00+00:00,63727.75,63825.5,63434.5,63434.5,64237.572,0.4602,76.06,60.85,FILLED_TP,1.7385,N/A,6.489,3.9485,10.4375,1.6421,0.0999,0.8993,2.5414,Price expanded in trade direction to hit fixed 0.8% TP (64237.57) in candle [63690.00 - 64247.00].
19,SOLUSD,SHORT,2026-08-11 20:00:00+00:00,2026-08-11 20:00:00+00:00,2026-08-11 21:00:00+00:00,76.045,76.369,75.937,76.369,75.4366,0.4261,82.15,65.72,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,10.4375,-3.6531,6.7843,2.5414,0.167,-1.0565,1.4849,"Filled at 76.05, moved inside zone for 1 bars, then reversed and breached distal SL at 76.37."
20,ETHUSD,SHORT,2026-08-12 04:00:00+00:00,2026-08-12 04:00:00+00:00,2026-08-12 09:00:00+00:00,1889.15,1897.25,1886.45,1897.25,1874.0368,0.4288,81.63,65.3,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,6.7843,-2.3745,4.4098,1.4849,0.097,-0.6167,0.8682,"Filled at 1889.15, moved inside zone for 5 bars, then reversed and breached distal SL at 1897.25."
21,SOLUSD,SHORT,2026-08-12 09:00:00+00:00,2026-08-12 09:00:00+00:00,2026-08-12 09:00:00+00:00,76.7885,77.15,76.668,77.15,76.1742,0.4708,74.35,59.48,FILLED_TP,1.6993,N/A,4.4098,2.6228,7.0326,0.8682,0.0516,0.4647,1.3329,Price expanded in trade direction to hit fixed 0.8% TP (76.17) in candle [76.13 - 76.91].
22,BTCUSD,LONG,2026-08-12 13:00:00+00:00,2026-08-12 14:00:00+00:00,2026-08-12 14:00:00+00:00,63759.625,63818.0,63584.5,63584.5,64269.702,0.2747,127.43,101.94,FILLED_SL,-1.0,INSTANT_BLOWTHROUGH,7.0326,-2.4614,4.5712,1.3329,0.1359,-0.6024,0.7305,"Instant penetration blowthrough. Candle entered OB, filled limit order at 63759.62, and pierced distal SL at 63584.50 in the same candle."
23,SOLUSD,LONG,2026-08-12 13:00:00+00:00,2026-08-12 13:00:00+00:00,2026-08-12 14:00:00+00:00,76.2032,76.289,75.946,75.946,76.8129,0.3376,103.68,82.94,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,4.5712,-1.5999,2.9713,0.7305,0.0606,-0.3163,0.4142,"Filled at 76.20, moved inside zone for 1 bars, then reversed and breached distal SL at 75.95."
24,SOLUSD,SHORT,2026-08-13 08:00:00+00:00,2026-08-13 08:00:00+00:00,2026-08-13 10:00:00+00:00,76.3233,76.909,76.128,76.909,75.7127,0.7675,45.61,36.48,FILLED_TP,1.0424,N/A,2.9713,1.084,4.0553,0.4142,0.0151,0.136,0.5503,Price expanded in trade direction to hit fixed 0.8% TP (75.71) in candle [75.69 - 76.18].
25,SOLUSD,LONG,2026-08-13 11:00:00+00:00,2026-08-13 11:00:00+00:00,2026-08-13 13:00:00+00:00,75.581,75.668,75.32,75.32,76.1856,0.3453,101.35,81.08,FILLED_TP,2.3167,N/A,4.0553,3.2882,7.3435,0.5503,0.0446,0.4016,0.9518,Price expanded in trade direction to hit fixed 0.8% TP (76.19) in candle [76.05 - 76.37].
26,SOLUSD,LONG,2026-08-14 23:00:00+00:00,2026-08-14 23:00:00+00:00,2026-08-16 21:00:00+00:00,75.2193,75.419,74.62,74.62,75.821,0.7967,43.93,35.15,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,7.3435,-2.5702,4.7733,0.9518,0.0335,-0.3666,0.5852,"Filled at 75.22, moved inside zone for 46 bars, then reversed and breached distal SL at 74.62."
27,BTCUSD,LONG,2026-08-15 23:00:00+00:00,2026-08-15 23:00:00+00:00,2026-08-16 01:00:00+00:00,63078.5,63103.5,63003.5,63003.5,63583.128,0.1189,294.37,235.49,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,4.7733,-1.6707,3.1026,0.5852,0.1378,-0.3427,0.2426,"Filled at 63078.50, moved inside zone for 2 bars, then reversed and breached distal SL at 63003.50."
28,XRPUSD,LONG,2026-08-15 23:00:00+00:00,2026-08-15 23:00:00+00:00,2026-08-16 05:00:00+00:00,1.0024,1.0032,1.0001,1.0001,1.0104,0.2319,150.9,120.72,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,3.1026,-1.0859,2.0167,0.2426,0.0293,-0.1142,0.1284,"Filled at 1.00, moved inside zone for 6 bars, then reversed and breached distal SL at 1.00."
29,BTCUSD,SHORT,2026-08-16 13:00:00+00:00,2026-08-16 13:00:00+00:00,2026-08-16 16:00:00+00:00,63030.625,63139.0,62994.5,63139.0,62526.38,0.1719,203.56,162.85,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,2.0167,-0.7059,1.3109,0.1284,0.0209,-0.0658,0.0625,"Filled at 63030.62, moved inside zone for 3 bars, then reversed and breached distal SL at 63139.00."
30,SOLUSD,SHORT,2026-08-17 03:00:00+00:00,2026-08-17 03:00:00+00:00,2026-08-17 06:00:00+00:00,75.556,75.7241,75.5,75.7241,74.9516,0.2225,157.34,125.87,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,1.3109,-0.4588,0.8521,0.0625,0.0079,-0.0298,0.0328,"Filled at 75.56, moved inside zone for 3 bars, then reversed and breached distal SL at 75.72."
31,BTCUSD,SHORT,2026-08-17 04:00:00+00:00,2026-08-17 04:00:00+00:00,2026-08-17 06:00:00+00:00,63493.625,63620.0,63451.5,63620.0,62985.676,0.199,175.85,140.68,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,0.8521,-0.2982,0.5538,0.0328,0.0046,-0.0161,0.0167,"Filled at 63493.62, moved inside zone for 2 bars, then reversed and breached distal SL at 63620.00."
32,SOLUSD,LONG,2026-08-17 19:00:00+00:00,2026-08-17 20:00:00+00:00,2026-08-18 07:00:00+00:00,75.6488,75.8064,75.176,75.176,76.254,0.625,56.0,44.8,FILLED_TP,1.28,N/A,0.5538,0.2481,0.802,0.0167,0.0007,0.0067,0.0234,Price expanded in trade direction to hit fixed 0.8% TP (76.25) in candle [75.94 - 76.27].
33,ETHUSD,LONG,2026-08-18 01:00:00+00:00,2026-08-18 02:00:00+00:00,2026-08-18 02:00:00+00:00,1898.3875,1901.0,1890.55,1890.55,1913.5746,0.4129,84.78,67.82,FILLED_SL,-1.0,INSTANT_BLOWTHROUGH,0.802,-0.2807,0.5213,0.0234,0.0016,-0.0098,0.0136,"Instant penetration blowthrough. Candle entered OB, filled limit order at 1898.39, and pierced distal SL at 1890.55 in the same candle."
34,BTCUSD,LONG,2026-08-19 05:00:00+00:00,2026-08-19 06:00:00+00:00,2026-08-19 12:00:00+00:00,64203.375,64268.5,64008.0,64008.0,64717.002,0.3043,115.02,92.01,FILLED_TP,2.6289,N/A,0.5213,0.4796,1.0009,0.0136,0.0013,0.0113,0.0249,Price expanded in trade direction to hit fixed 0.8% TP (64717.00) in candle [64446.00 - 64968.50].
35,ETHUSD,SHORT,2026-08-19 06:00:00+00:00,2026-08-19 06:00:00+00:00,2026-08-19 07:00:00+00:00,1913.95,1919.5,1912.1,1919.5,1898.6384,0.29,120.7,96.56,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,1.0009,-0.3503,0.6506,0.0249,0.0024,-0.0111,0.0138,"Filled at 1913.95, moved inside zone for 1 bars, then reversed and breached distal SL at 1919.50."
36,BTCUSD,SHORT,2026-08-23 11:00:00+00:00,2026-08-23 11:00:00+00:00,2026-08-23 13:00:00+00:00,77240.75,77432.0,77177.0,77432.0,76622.824,0.2476,141.36,113.08,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,0.6506,-0.2277,0.4229,0.0138,0.0016,-0.0064,0.0074,"Filled at 77240.75, moved inside zone for 2 bars, then reversed and breached distal SL at 77432.00."
37,BTCUSD,SHORT,2026-08-24 02:00:00+00:00,2026-08-24 07:00:00+00:00,2026-08-24 08:00:00+00:00,77559.375,78030.0,77402.5,78030.0,76938.9,0.6068,57.68,46.14,FILLED_TP,1.3184,N/A,0.4229,0.1951,0.618,0.0074,0.0003,0.0031,0.0105,Price expanded in trade direction to hit fixed 0.8% TP (76938.90) in candle [76820.50 - 77410.00].
38,XRPUSD,SHORT,2026-08-24 09:00:00+00:00,2026-08-24 09:00:00+00:00,2026-08-24 09:00:00+00:00,1.4824,1.5046,1.475,1.5046,1.4705,1.4976,23.37,18.7,FILLED_TP,0.5342,N/A,0.618,0.1156,0.7336,0.0105,0.0002,0.0018,0.0123,Price expanded in trade direction to hit fixed 0.8% TP (1.47) in candle [1.46 - 1.49].
39,XRPUSD,SHORT,2026-08-24 12:00:00+00:00,2026-08-24 12:00:00+00:00,2026-08-24 12:00:00+00:00,1.5167,1.5323,1.5115,1.5323,1.5046,1.0285,34.03,27.22,FILLED_TP,0.7778,N/A,0.7336,0.1997,0.9333,0.0123,0.0003,0.003,0.0153,Price expanded in trade direction to hit fixed 0.8% TP (1.50) in candle [1.48 - 1.52].
40,BTCUSD,LONG,2026-08-25 09:00:00+00:00,2026-08-25 09:00:00+00:00,2026-08-25 09:00:00+00:00,78984.875,79169.0,78432.5,78432.5,79616.754,0.6993,50.05,40.04,FILLED_TP,1.1439,N/A,0.9333,0.3737,1.3069,0.0153,0.0006,0.0055,0.0207,Price expanded in trade direction to hit fixed 0.8% TP (79616.75) in candle [78840.50 - 79938.00].
41,SOLUSD,LONG,2026-08-26 09:00:00+00:00,2026-08-26 09:00:00+00:00,2026-08-26 09:00:00+00:00,95.866,96.219,94.807,94.807,96.6329,1.1047,31.68,25.35,FILLED_TP,0.7242,N/A,1.3069,0.3313,1.6382,0.0207,0.0005,0.0047,0.0255,Price expanded in trade direction to hit fixed 0.8% TP (96.63) in candle [95.78 - 97.02].
