trade_id,asset,direction,ob_formation_time,bos_time,entry_time,exit_time,ob_formation_time_ist,bos_time_ist,entry_time_ist,exit_time_ist,ob_high,ob_low,ob_width,ob_width_pct,entry_price,sl_price,tp_price,sl_distance_pct,theoretical_leverage,applied_leverage,planned_tp_market_pct,planned_sl_account_pct,planned_tp_account_pct,starting_capital,position_notional,gross_pnl,fees,net_pnl,ending_capital,outcome,exit_reason,is_ambiguous,holding_bars,holding_time_hours,bars_ob_to_entry,hours_ob_to_entry,bars_retest_to_entry,hours_retest_to_entry,realized_r,cumulative_realized_r,data_timeframe,trade_narrative
14,SOLUSD,SHORT,2024-06-07 12:00:00+00:00,2024-07-20 00:00:00+00:00,2024-07-20 01:00:00+00:00,2024-07-20 06:00:00+00:00,2024-06-07 17:30:00 IST,2024-07-20 05:30:00 IST,2024-07-20 06:30:00 IST,2024-07-20 11:30:00 IST,172.754,169.3945,1.412,1.9735,170.2344,172.754,169.213,1.4801,23.65,23.65,0.6,35.0,14.19,6.493819,153.560511,0.921363,0.122848,0.798515,7.292333,FILLED_TP,TP_HIT,False,5,5.0,1,1.0,0,0.0,0.4054,1.8387,1h,Price reached fixed +0.60% TP target at 169.2130.
15,SOLUSD,SHORT,2024-06-05 16:00:00+00:00,2024-07-20 17:00:00+00:00,2024-07-20 18:00:00+00:00,2024-07-20 18:00:00+00:00,2024-06-05 21:30:00 IST,2024-07-20 22:30:00 IST,2024-07-20 23:30:00 IST,2024-07-20 23:30:00 IST,175.634,173.962,1.412,0.9588,174.38,175.634,173.3337,0.7191,48.67,48.67,0.6,35.0,29.2,7.292333,354.922628,2.129536,0.283938,1.845598,9.137931,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.8344,2.673,1h,Price reached fixed +0.60% TP target at 173.3337.
16,SOLUSD,SHORT,2024-07-23 10:00:00+00:00,2024-07-24 11:00:00+00:00,2024-07-24 12:00:00+00:00,2024-07-24 12:00:00+00:00,2024-07-23 15:30:00 IST,2024-07-24 16:30:00 IST,2024-07-24 17:30:00 IST,2024-07-24 17:30:00 IST,178.706,177.265,1.412,0.8113,177.6252,178.706,176.5595,0.6084,57.52,57.52,0.6,35.0,34.51,9.137931,525.648432,3.153891,0.420519,2.733372,11.871303,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.9861,3.6592,1h,Price reached fixed +0.60% TP target at 176.5595.
17,SOLUSD,LONG,2024-07-26 14:00:00+00:00,2024-07-27 15:00:00+00:00,2024-07-27 16:00:00+00:00,2024-07-27 16:00:00+00:00,2024-07-26 19:30:00 IST,2024-07-27 20:30:00 IST,2024-07-27 21:30:00 IST,2024-07-27 21:30:00 IST,183.09,179.166,1.412,2.1548,182.109,179.166,183.2017,1.6161,21.66,21.66,0.6,35.0,12.99,11.871303,257.103254,1.542620,0.205683,1.336937,13.208240,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.3713,4.0304,1h,Price reached fixed +0.60% TP target at 183.2017.
18,SOLUSD,LONG,2024-07-28 22:00:00+00:00,2024-07-29 21:00:00+00:00,2024-07-29 22:00:00+00:00,2024-07-29 22:00:00+00:00,2024-07-29 03:30:00 IST,2024-07-30 02:30:00 IST,2024-07-30 03:30:00 IST,2024-07-30 03:30:00 IST,184.245,182.603,1.412,0.8932,183.8345,182.603,184.9375,0.6699,52.25,52.25,0.6,35.0,31.35,13.208240,690.089768,4.140539,0.552072,3.588467,16.796706,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.8957,4.9261,1h,Price reached fixed +0.60% TP target at 184.9375.
19,SOLUSD,SHORT,2024-07-30 05:00:00+00:00,2024-07-31 01:00:00+00:00,2024-07-31 06:00:00+00:00,2024-07-31 12:00:00+00:00,2024-07-30 10:30:00 IST,2024-07-31 06:30:00 IST,2024-07-31 11:30:00 IST,2024-07-31 17:30:00 IST,184.844,181.454,1.412,1.8596,182.3015,184.844,181.2077,1.3947,25.1,25.1,0.6,35.0,15.06,16.796706,421.523177,2.529139,0.337219,2.191921,18.988627,FILLED_TP,TP_HIT,False,6,6.0,5,5.0,4,4.0,0.4302,5.3563,1h,Price reached fixed +0.60% TP target at 181.2077.
20,SOLUSD,SHORT,2024-08-04 20:00:00+00:00,2024-08-06 05:00:00+00:00,2024-08-06 06:00:00+00:00,2024-08-06 06:00:00+00:00,2024-08-05 01:30:00 IST,2024-08-06 10:30:00 IST,2024-08-06 11:30:00 IST,2024-08-06 11:30:00 IST,143.809,141.273,1.412,1.7871,141.907,143.809,141.0556,1.3403,26.11,26.11,0.6,35.0,15.67,18.988627,495.855249,-6.646019,0.396684,-7.042704,11.945923,FILLED_SL,SL_HIT,False,1,1.0,1,1.0,0,0.0,-1.0,4.3563,1h,Price breached distal stop loss at 143.8090.
21,SOLUSD,LONG,2024-08-08 19:00:00+00:00,2024-08-09 04:00:00+00:00,2024-08-09 05:00:00+00:00,2024-08-09 06:00:00+00:00,2024-08-09 00:30:00 IST,2024-08-09 09:30:00 IST,2024-08-09 10:30:00 IST,2024-08-09 11:30:00 IST,157.2,155.131,1.412,1.3205,156.6827,155.131,157.6228,0.9904,35.34,35.34,0.6,35.0,21.2,11.945923,422.169836,2.533019,0.337736,2.195283,14.141207,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.6058,4.9621,1h,Price reached fixed +0.60% TP target at 157.6228.
22,SOLUSD,LONG,2024-08-08 04:00:00+00:00,2024-08-09 14:00:00+00:00,2024-08-09 15:00:00+00:00,2024-08-09 15:00:00+00:00,2024-08-08 09:30:00 IST,2024-08-09 19:30:00 IST,2024-08-09 20:30:00 IST,2024-08-09 20:30:00 IST,154.347,151.597,1.412,1.7897,153.6595,151.597,154.5815,1.3423,26.08,26.08,0.6,35.0,15.65,14.141207,368.739759,-4.949422,0.294992,-5.244414,8.896792,FILLED_SL,SL_HIT,False,1,1.0,1,1.0,0,0.0,-1.0,3.9621,1h,Price breached distal stop loss at 151.5970.
23,SOLUSD,LONG,2024-08-10 19:00:00+00:00,2024-08-11 04:00:00+00:00,2024-08-11 05:00:00+00:00,2024-08-11 08:00:00+00:00,2024-08-11 00:30:00 IST,2024-08-11 09:30:00 IST,2024-08-11 10:30:00 IST,2024-08-11 13:30:00 IST,155.265,153.577,1.412,1.0901,154.843,153.577,155.7721,0.8176,42.81,42.81,0.6,35.0,25.68,8.896792,380.854747,2.285128,0.304684,1.980445,10.877237,FILLED_TP,TP_HIT,False,3,3.0,1,1.0,0,0.0,0.7339,4.696,1h,Price reached fixed +0.60% TP target at 155.7721.
24,SOLUSD,LONG,2024-08-13 03:00:00+00:00,2024-08-14 01:00:00+00:00,2024-08-14 02:00:00+00:00,2024-08-14 03:00:00+00:00,2024-08-13 08:30:00 IST,2024-08-14 06:30:00 IST,2024-08-14 07:30:00 IST,2024-08-14 08:30:00 IST,145.738,142.988,1.412,1.8959,145.0505,142.988,145.9208,1.4219,24.61,24.61,0.6,35.0,14.77,10.877237,267.739170,1.606435,0.214191,1.392244,12.269481,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.422,5.1179,1h,Price reached fixed +0.60% TP target at 145.9208.
25,SOLUSD,SHORT,2024-08-13 21:00:00+00:00,2024-08-14 09:00:00+00:00,2024-08-14 10:00:00+00:00,2024-08-14 10:00:00+00:00,2024-08-14 02:30:00 IST,2024-08-14 14:30:00 IST,2024-08-14 15:30:00 IST,2024-08-14 15:30:00 IST,147.869,145.95,1.412,1.3105,146.4297,147.869,145.5512,0.9829,35.61,35.61,0.6,35.0,21.37,12.269481,436.905299,-4.294318,0.349524,-4.643843,7.625638,FILLED_SL,SL_HIT,False,1,1.0,1,1.0,0,0.0,-1.0,4.1179,1h,Price breached distal stop loss at 147.8690.
26,SOLUSD,LONG,2024-08-06 13:00:00+00:00,2024-08-15 18:00:00+00:00,2024-08-15 19:00:00+00:00,2024-08-15 19:00:00+00:00,2024-08-06 18:30:00 IST,2024-08-15 23:30:00 IST,2024-08-16 00:30:00 IST,2024-08-16 00:30:00 IST,140.6,136.212,1.412,3.1455,139.503,136.212,140.34,2.3591,14.84,14.84,0.6,35.0,8.9,7.625638,113.135763,0.678815,0.090509,0.588306,8.213944,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.2543,4.3723,1h,Price reached fixed +0.60% TP target at 140.3400.
27,SOLUSD,LONG,2024-08-17 15:00:00+00:00,2024-08-18 01:00:00+00:00,2024-08-18 02:00:00+00:00,2024-08-18 02:00:00+00:00,2024-08-17 20:30:00 IST,2024-08-18 06:30:00 IST,2024-08-18 07:30:00 IST,2024-08-18 07:30:00 IST,141.72,140.187,1.412,1.0846,141.3367,140.187,142.1848,0.8135,43.02,43.02,0.6,35.0,25.81,8.213944,353.404013,2.120424,0.282723,1.837701,10.051645,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.7376,5.1098,1h,Price reached fixed +0.60% TP target at 142.1848.
28,SOLUSD,LONG,2024-08-18 18:00:00+00:00,2024-08-18 21:00:00+00:00,2024-08-18 22:00:00+00:00,2024-08-18 23:00:00+00:00,2024-08-18 23:30:00 IST,2024-08-19 02:30:00 IST,2024-08-19 03:30:00 IST,2024-08-19 04:30:00 IST,145.637,144.38,1.412,0.865,145.3227,144.38,146.1947,0.6487,53.95,53.95,0.6,35.0,32.37,10.051645,542.303313,-3.518076,0.433843,-3.951918,6.099727,FILLED_SL,SL_HIT,False,1,1.0,1,1.0,0,0.0,-1.0,4.1098,1h,Price breached distal stop loss at 144.3800.
29,SOLUSD,LONG,2024-08-18 04:00:00+00:00,2024-08-19 09:00:00+00:00,2024-08-19 10:00:00+00:00,2024-08-19 10:00:00+00:00,2024-08-18 09:30:00 IST,2024-08-19 14:30:00 IST,2024-08-19 15:30:00 IST,2024-08-19 15:30:00 IST,141.658,140.647,1.412,0.715,141.4052,140.647,142.2537,0.5362,65.27,65.27,0.6,35.0,39.16,6.099727,398.136078,-2.134904,0.318509,-2.453413,3.646313,FILLED_SL,SL_HIT,False,1,1.0,1,1.0,0,0.0,-1.0,3.1098,1h,Price breached distal stop loss at 140.6470.
30,SOLUSD,SHORT,2024-08-19 06:00:00+00:00,2024-08-19 11:00:00+00:00,2024-08-19 12:00:00+00:00,2024-08-19 13:00:00+00:00,2024-08-19 11:30:00 IST,2024-08-19 16:30:00 IST,2024-08-19 17:30:00 IST,2024-08-19 18:30:00 IST,143.589,142.138,1.412,1.0182,142.5008,143.589,141.6457,0.7637,45.83,45.83,0.6,35.0,27.5,3.646313,167.113110,-1.276210,0.133690,-1.409900,2.236413,FILLED_SL,SL_HIT,False,1,1.0,1,1.0,0,0.0,-1.0,2.1098,1h,Price breached distal stop loss at 143.5890.
31,SOLUSD,LONG,2024-08-19 10:00:00+00:00,2024-08-21 11:00:00+00:00,2024-08-21 12:00:00+00:00,2024-08-21 13:00:00+00:00,2024-08-19 15:30:00 IST,2024-08-21 16:30:00 IST,2024-08-21 17:30:00 IST,2024-08-21 18:30:00 IST,141.667,140.425,1.412,0.8786,141.3565,140.425,142.2046,0.659,53.11,53.11,0.6,35.0,31.87,2.236413,118.782655,-0.782745,0.095026,-0.877771,1.358643,FILLED_SL,SL_HIT,False,1,1.0,1,1.0,0,0.0,-1.0,1.1098,1h,Price breached distal stop loss at 140.4250.
32,SOLUSD,SHORT,2024-08-21 07:00:00+00:00,2024-08-21 18:00:00+00:00,2024-08-21 19:00:00+00:00,2024-08-21 20:00:00+00:00,2024-08-21 12:30:00 IST,2024-08-21 23:30:00 IST,2024-08-22 00:30:00 IST,2024-08-22 01:30:00 IST,143.813,142.656,1.412,0.8094,142.9452,143.813,142.0876,0.6071,57.66,57.66,0.6,35.0,34.59,1.358643,78.333647,-0.475525,0.062667,-0.538192,0.820451,FILLED_SL,SL_HIT,False,1,1.0,1,1.0,0,0.0,-1.0,0.1098,1h,Price breached distal stop loss at 143.8130.
33,SOLUSD,LONG,2024-08-22 02:00:00+00:00,2024-08-22 13:00:00+00:00,2024-08-22 14:00:00+00:00,2024-08-22 15:00:00+00:00,2024-08-22 07:30:00 IST,2024-08-22 18:30:00 IST,2024-08-22 19:30:00 IST,2024-08-22 20:30:00 IST,143.108,140.687,1.412,1.6989,142.5027,140.687,143.3578,1.2742,27.47,27.47,0.6,35.0,16.48,0.820451,22.536565,0.135219,0.018029,0.117190,0.937641,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.4709,0.5807,1h,Price reached fixed +0.60% TP target at 143.3578.
34,SOLUSD,LONG,2024-08-22 15:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-23 14:00:00+00:00,2024-08-23 14:00:00+00:00,2024-08-22 20:30:00 IST,2024-08-23 16:30:00 IST,2024-08-23 19:30:00 IST,2024-08-23 19:30:00 IST,143.578,142.117,1.412,1.0202,143.2127,142.117,144.072,0.7651,45.74,45.74,0.6,35.0,27.45,0.937641,42.891849,0.257351,0.034313,0.223038,1.160678,FILLED_TP,TP_HIT,False,1,1.0,3,3.0,0,0.0,0.7842,1.3649,1h,Price reached fixed +0.60% TP target at 144.0720.
35,SOLUSD,SHORT,2024-08-08 23:00:00+00:00,2024-08-24 23:00:00+00:00,2024-08-25 21:00:00+00:00,2024-08-25 21:00:00+00:00,2024-08-09 04:30:00 IST,2024-08-25 04:30:00 IST,2024-08-26 02:30:00 IST,2024-08-26 02:30:00 IST,163.61,160.464,1.412,1.951,161.2505,163.61,160.283,1.4633,23.92,23.92,0.6,35.0,14.35,1.160678,27.762659,0.166576,0.022210,0.144366,1.305044,FILLED_TP,TP_HIT,False,1,1.0,22,22.0,21,21.0,0.41,1.775,1h,Price reached fixed +0.60% TP target at 160.2830.
36,SOLUSD,LONG,2024-08-26 07:00:00+00:00,2024-08-26 12:00:00+00:00,2024-08-26 13:00:00+00:00,2024-08-26 13:00:00+00:00,2024-08-26 12:30:00 IST,2024-08-26 17:30:00 IST,2024-08-26 18:30:00 IST,2024-08-26 18:30:00 IST,159.532,158.463,1.412,0.6712,159.2647,158.463,160.2203,0.5034,69.53,69.53,0.6,35.0,41.72,1.305044,90.734822,0.544409,0.072588,0.471821,1.776865,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,1.1919,2.9669,1h,Price reached fixed +0.60% TP target at 160.2203.
37,SOLUSD,LONG,2024-08-25 07:00:00+00:00,2024-08-26 14:00:00+00:00,2024-08-26 15:00:00+00:00,2024-08-26 15:00:00+00:00,2024-08-25 12:30:00 IST,2024-08-26 19:30:00 IST,2024-08-26 20:30:00 IST,2024-08-26 20:30:00 IST,157.7931,155.373,1.412,1.5396,157.1881,155.373,158.1312,1.1547,30.31,30.31,0.6,35.0,18.19,1.776865,53.857673,0.323146,0.043086,0.280060,2.056925,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.5196,3.4865,1h,Price reached fixed +0.60% TP target at 158.1312.
38,SOLUSD,LONG,2024-08-26 18:00:00+00:00,2024-08-27 06:00:00+00:00,2024-08-27 07:00:00+00:00,2024-08-27 09:00:00+00:00,2024-08-26 23:30:00 IST,2024-08-27 11:30:00 IST,2024-08-27 12:30:00 IST,2024-08-27 14:30:00 IST,159.415,156.46,1.412,1.8623,158.6762,156.46,159.6283,1.3967,25.06,25.06,0.6,35.0,15.04,2.056925,51.544192,-0.719924,0.041235,-0.761159,1.295766,FILLED_SL,SL_HIT,False,2,2.0,1,1.0,0,0.0,-1.0,2.4865,1h,Price breached distal stop loss at 156.4600.
39,SOLUSD,SHORT,2024-08-28 05:00:00+00:00,2024-08-28 09:00:00+00:00,2024-08-28 12:00:00+00:00,2024-08-28 13:00:00+00:00,2024-08-28 10:30:00 IST,2024-08-28 14:30:00 IST,2024-08-28 17:30:00 IST,2024-08-28 18:30:00 IST,149.331,147.248,1.412,1.4096,147.7687,149.331,146.8821,1.0572,33.11,33.11,0.6,35.0,19.86,1.295766,42.896980,0.257382,0.034318,0.223064,1.518830,FILLED_TP,TP_HIT,False,1,1.0,3,3.0,2,2.0,0.5675,3.054,1h,Price reached fixed +0.60% TP target at 146.8821.
40,SOLUSD,LONG,2024-08-21 13:00:00+00:00,2024-08-29 18:00:00+00:00,2024-08-29 19:00:00+00:00,2024-08-29 19:00:00+00:00,2024-08-21 18:30:00 IST,2024-08-29 23:30:00 IST,2024-08-30 00:30:00 IST,2024-08-30 00:30:00 IST,141.6,138.877,1.412,1.9323,140.9193,138.877,141.7648,1.4492,24.15,24.15,0.6,35.0,14.49,1.518830,36.680794,-0.531591,0.029345,-0.560935,0.957895,FILLED_SL,SL_HIT,False,1,1.0,1,1.0,0,0.0,-1.0,2.054,1h,Price breached distal stop loss at 138.8770.
41,SOLUSD,SHORT,2024-08-30 00:00:00+00:00,2024-08-30 12:00:00+00:00,2024-08-30 13:00:00+00:00,2024-08-30 13:00:00+00:00,2024-08-30 05:30:00 IST,2024-08-30 17:30:00 IST,2024-08-30 18:30:00 IST,2024-08-30 18:30:00 IST,141.18,139.886,1.412,0.9229,140.2095,141.18,139.3682,0.6922,50.56,50.56,0.6,35.0,30.34,0.957895,48.435958,0.290616,0.038749,0.251867,1.209762,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.8668,2.9208,1h,Price reached fixed +0.60% TP target at 139.3682.
42,SOLUSD,LONG,2024-08-05 19:00:00+00:00,2024-09-02 03:00:00+00:00,2024-09-02 04:00:00+00:00,2024-09-02 04:00:00+00:00,2024-08-06 00:30:00 IST,2024-09-02 08:30:00 IST,2024-09-02 09:30:00 IST,2024-09-02 09:30:00 IST,130.426,126.855,1.412,2.7568,129.5332,126.855,130.3104,2.0676,16.93,16.93,0.6,35.0,10.16,1.209762,20.478501,0.122871,0.016383,0.106488,1.316250,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.2902,3.211,1h,Price reached fixed +0.60% TP target at 130.3104.
43,SOLUSD,SHORT,2024-09-01 20:00:00+00:00,2024-09-02 20:00:00+00:00,2024-09-02 21:00:00+00:00,2024-09-02 21:00:00+00:00,2024-09-02 01:30:00 IST,2024-09-03 01:30:00 IST,2024-09-03 02:30:00 IST,2024-09-03 02:30:00 IST,136.157,134.573,1.412,1.1736,134.969,136.157,134.1592,0.8802,39.76,39.76,0.6,35.0,23.86,1.316250,52.338842,0.314033,0.041871,0.272162,1.588412,FILLED_TP,TP_HIT,False,1,1.0,1,1.0,0,0.0,0.6817,3.8927,1h,Price reached fixed +0.60% TP target at 134.1592.
44,SOLUSD,SHORT,2024-09-04 22:00:00+00:00,2024-09-05 04:00:00+00:00,2024-09-05 08:00:00+00:00,2024-09-05 08:00:00+00:00,2024-09-05 03:30:00 IST,2024-09-05 09:30:00 IST,2024-09-05 13:30:00 IST,2024-09-05 13:30:00 IST,134.674,133.482,1.412,0.891,133.78,134.674,132.9773,0.6683,52.37,52.37,0.6,35.0,31.42,1.588412,83.192648,0.499156,0.066554,0.432602,2.021014,FILLED_TP,TP_HIT,False,1,1.0,4,4.0,3,3.0,0.8979,4.7905,1h,Price reached fixed +0.60% TP target at 132.9773.
